sanctuary,status,site,transect.id,count
Armstrong,Fished,Geordie_Bay,AT.4,1
Armstrong,Fished,Longreach_Bay,HA.3,3
Armstrong,Fished,Ricey_Beach,AT.3,8
Armstrong,Fished,Ricey_Beach,EPJ.1,17
Armstrong,Fished,Ricey_Beach,ST.3,3.5
Armstrong,Fished,Ricey_Beach,ST.4,3
Armstrong,Fished,Ricey_Beach,ST.5,0
Armstrong,No-take,Little_Armstrong_Bay,AAE.2,9
Armstrong,No-take,Little_Armstrong_Bay,AAE.3,8
Armstrong,No-take,Little_Armstrong_Bay,AAE.9,8
Armstrong,No-take,Little_Armstrong_Bay,THJ.2,0
Armstrong,No-take,Little_Armstrong_Bay,THJ.3,0
Armstrong,No-take,Little_Armstrong_Bay,THJ.5,5
Armstrong,No-take,Little_Armstrong_Bay,THJ.6,6
Green_Island,Fished,East_Strickland,AT.3,1
Green_Island,Fished,East_Strickland,EPJ.5,2
Green_Island,Fished,East_Strickland,ST.2,1
Green_Island,No-take,Green_Island,AT.2,2
Green_Island,No-take,Green_Island,AT.3,7
Green_Island,No-take,Green_Island,AT.4,1
Green_Island,No-take,Green_Island,AT.5,5
Green_Island,No-take,Green_Island,ST.1,3
Green_Island,No-take,Green_Island,ST.5,4
Parker_Pt,No-take,East_Salmon,JAT.4,19
Parker_Pt,No-take,East_Salmon,JAT.5,14
Parker_Pt,No-take,East_Salmon,ST.3,8
Parker_Pt,No-take,East_Salmon,ST.5,2.4
Parker_Pt,No-take,Little Salmon_Bay,AH.3,2.5
Parker_Pt,No-take,Little Salmon_Bay,AH.4,17
Parker_Pt,No-take,Little Salmon_Bay,AH.5,5
Parker_Pt,No-take,Little Salmon_Bay,EAA.2,5
Parker_Pt,No-take,Little Salmon_Bay,EAA.3,3
Parker_Pt,No-take,Little Salmon_Bay,JH.1,7
